INFO 2024-10-29 13:21:02,530 model 7792 18988 No se detectó contenido matemático. Score: 0.0008900756564307966
INFO 2024-10-29 13:21:02,530 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:03,514 model 7792 18988 Score matemático calculado: 0.0013266509433962263
INFO 2024-10-29 13:21:03,522 model 7792 18988 No se detectó contenido matemático. Score: 0.0013266509433962263
INFO 2024-10-29 13:21:03,522 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:04,505 model 7792 18988 Score matemático calculado: 0.0007443799315170463
INFO 2024-10-29 13:21:04,505 model 7792 18988 No se detectó contenido matemático. Score: 0.0007443799315170463
INFO 2024-10-29 13:21:04,505 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:05,521 model 7792 18988 Score matemático calculado: 0.0010144927536231885
INFO 2024-10-29 13:21:05,524 model 7792 18988 No se detectó contenido matemático. Score: 0.0010144927536231885
INFO 2024-10-29 13:21:05,526 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:05,931 model 7792 18988 Score matemático calculado: 0.0017822664488341008
INFO 2024-10-29 13:21:05,933 model 7792 18988 No se detectó contenido matemático. Score: 0.0017822664488341008
INFO 2024-10-29 13:21:05,933 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:06,149 model 7792 25688 Score matemático calculado: 0.0010167029774872912
INFO 2024-10-29 13:21:06,151 model 7792 25688 No se detectó contenido matemático. Score: 0.0010167029774872912
INFO 2024-10-29 13:21:06,151 model 7792 25688 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:06,587 model 7792 18988 Score matemático calculado: 0.0009110233829334953
INFO 2024-10-29 13:21:06,595 model 7792 18988 No se detectó contenido matemático. Score: 0.0009110233829334953
INFO 2024-10-29 13:21:06,596 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:21:07,617 model 7792 25688 Score matemático calculado: 0.0012012012012012011
INFO 2024-10-29 13:21:07,619 model 7792 25688 No se detectó contenido matemático. Score: 0.0012012012012012011
INFO 2024-10-29 13:21:07,619 model 7792 25688 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:02,653 model 7792 18988 Score matemático calculado: 0.0004512635379061372
INFO 2024-10-29 13:22:02,653 model 7792 18988 No se detectó contenido matemático. Score: 0.0004512635379061372
INFO 2024-10-29 13:22:02,653 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,020 model 7792 5144 Score matemático calculado: 0.0012410797393732546
INFO 2024-10-29 13:22:03,028 model 7792 5144 No se detectó contenido matemático. Score: 0.0012410797393732546
INFO 2024-10-29 13:22:03,028 model 7792 5144 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,161 model 7792 25688 Score matemático calculado: 0.0010682130321989928
INFO 2024-10-29 13:22:03,169 model 7792 25688 No se detectó contenido matemático. Score: 0.0010682130321989928
INFO 2024-10-29 13:22:03,170 model 7792 25688 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,222 model 7792 18960 Score matemático calculado: 0.0012410797393732546
INFO 2024-10-29 13:22:03,225 model 7792 18960 No se detectó contenido matemático. Score: 0.0012410797393732546
INFO 2024-10-29 13:22:03,225 model 7792 18960 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,411 model 7792 20568 Score matemático calculado: 0.0012410797393732546
INFO 2024-10-29 13:22:03,411 model 7792 20568 No se detectó contenido matemático. Score: 0.0012410797393732546
INFO 2024-10-29 13:22:03,411 model 7792 20568 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,496 model 7792 18988 Score matemático calculado: 0.0004512635379061372
INFO 2024-10-29 13:22:03,503 model 7792 18988 No se detectó contenido matemático. Score: 0.0004512635379061372
INFO 2024-10-29 13:22:03,503 model 7792 18988 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,522 model 7792 5144 Score matemático calculado: 0.0006156687702016315
INFO 2024-10-29 13:22:03,524 model 7792 5144 No se detectó contenido matemático. Score: 0.0006156687702016315
INFO 2024-10-29 13:22:03,525 model 7792 5144 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,674 model 7792 27824 Score matemático calculado: 0.0006156687702016315
INFO 2024-10-29 13:22:03,677 model 7792 27824 No se detectó contenido matemático. Score: 0.0006156687702016315
INFO 2024-10-29 13:22:03,678 model 7792 27824 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,894 model 7792 20568 Score matemático calculado: 0.0006156687702016315
INFO 2024-10-29 13:22:03,898 model 7792 20568 No se detectó contenido matemático. Score: 0.0006156687702016315
INFO 2024-10-29 13:22:03,898 model 7792 20568 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:03,983 model 7792 25688 Score matemático calculado: 0.0006156687702016315
INFO 2024-10-29 13:22:03,984 model 7792 25688 No se detectó contenido matemático. Score: 0.0006156687702016315
INFO 2024-10-29 13:22:03,984 model 7792 25688 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:04,048 model 7792 18960 Score matemático calculado: 0.0006156687702016315
INFO 2024-10-29 13:22:04,050 model 7792 18960 No se detectó contenido matemático. Score: 0.0006156687702016315
INFO 2024-10-29 13:22:04,050 model 7792 18960 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:04,520 model 7792 5144 Score matemático calculado: 0.00045194335643266047
INFO 2024-10-29 13:22:04,523 model 7792 5144 No se detectó contenido matemático. Score: 0.00045194335643266047
INFO 2024-10-29 13:22:04,523 model 7792 5144 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:04,591 model 7792 20568 Score matemático calculado: 0.00045194335643266047
INFO 2024-10-29 13:22:04,592 model 7792 20568 No se detectó contenido matemático. Score: 0.00045194335643266047
INFO 2024-10-29 13:22:04,593 model 7792 20568 No se detectó contenido matemático válido
INFO 2024-10-29 13:22:04,615 model 7792 18988 Score matemático calculado: 0.0020265003897116133
